iter	RMSE
0	20.71122201
1	19.73348234
2	19.00000906
3	18.3208127
4	17.8079386
5	17.3424313
6	16.96914069
7	16.50612702
8	16.06209858
9	15.75592344
10	15.48639589
11	15.24929443
12	15.1744477
13	14.94642483
14	14.79377208
15	14.62424621
16	14.46672255
17	14.33470086
18	14.18935941
19	13.99619616
20	13.89172311
21	13.7767247
22	13.69904505
23	13.59905936
24	13.5955505
25	13.45836905
26	13.37894154
27	13.24986625
28	13.05618944
29	12.98727237
30	12.96700696
31	12.87705319
32	12.77202123
33	12.68677238
34	12.59506451
35	12.45469379
36	12.37238813
37	12.30022469
38	12.20807163
39	12.13415627
40	12.11159155
41	12.04006032
42	11.9479581
43	11.87334136
44	11.77875925
45	11.71227981
46	11.62967194
47	11.46628727
48	11.38356336
49	11.26942246
50	11.18611975
51	11.12575035
52	11.03898992
53	10.94374788
54	10.8864926
55	10.81420529
56	10.71806498
57	10.62415504
58	10.5021671
59	10.43157151
60	10.37585632
61	10.32446903
62	10.28386538
63	10.15011078
64	10.02766366
65	9.940953834
66	9.86416702
67	9.755415127
68	9.696192173
69	9.588446472
70	9.527034254
71	9.444361062
72	9.385303738
73	9.265916825
74	9.218939782
75	9.153036359
76	9.059555005
77	9.015869068
78	8.936088917
79	8.907197984
80	8.849621474
81	8.800159445
82	8.749318321
83	8.730477312
84	8.660873175
85	8.595670146
86	8.561954649
87	8.528782027
88	8.454843572
89	8.372165625
90	8.324156472
91	8.275879593
92	8.218091233
93	8.177584562
94	8.142359825
95	8.077638336
96	7.996001805
97	7.941867054
98	7.909867529
99	7.819839459
