iter	Passed	Remaining
0	1	140
1	3	148
2	4	141
3	5	137
4	6	130
5	8	127
6	9	126
7	10	125
8	12	124
9	13	124
10	15	125
11	16	123
12	18	122
13	19	120
14	21	120
15	22	118
16	23	116
17	25	115
18	26	114
19	28	112
20	29	111
21	31	110
22	32	108
23	33	107
24	35	105
25	36	104
26	37	102
27	39	101
28	40	99
29	42	98
30	44	98
31	45	96
32	47	95
33	48	94
34	49	92
35	50	90
36	52	88
37	53	87
38	54	85
39	56	85
40	57	83
41	59	81
42	60	80
43	61	78
44	63	77
45	64	76
46	66	75
47	68	73
48	69	72
49	70	70
50	72	69
51	73	67
52	75	66
53	76	65
54	77	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	86	55
61	87	53
62	89	52
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	98	44
69	100	43
70	102	41
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	110	32
77	111	31
78	113	30
79	114	28
80	116	27
81	117	25
82	119	24
83	120	22
84	122	21
85	123	20
86	124	18
87	126	17
88	128	15
89	129	14
90	130	12
91	132	11
92	133	10
93	134	8
94	136	7
95	137	5
96	138	4
97	140	2
98	141	1
99	143	0
