,Mean MAE,Std MAE
Stacking Regressor,13.961459999999999,0.23668426859426026
CatBoost Regressor,14.0362,0.20669793177484824
LightGBM Regressor,14.2625,0.43982754006542124
Ridge Regressor,14.37002,0.2809853056656163
Support Vector Regressor,14.45908,0.28508371928259985
Random Forest Regressor,14.705459999999999,0.4515646443201681
XGBoost Regressor,14.719299999999999,0.4455437127824832
ElasticNet Regressor,15.122440000000001,1.3829436586499104
MLP Regressor,15.342460000000003,0.7603221902588403
KNN Regressor,15.629560000000001,0.32547280685181695
Mean Regressor,17.83162,0.7812551292631622
Random Regressor,30.864299999999997,0.7821025316414718
