,Stacking Regressor,CatBoost Regressor,LightGBM Regressor,Ridge Regressor,Support Vector Regressor,XGBoost Regressor,ElasticNet Regressor,Random Forest Regressor,MLP Regressor,KNN Regressor,Mean Regressor,Random Regressor
Stacking Regressor,1.0,0.9999993995490238,0.9928728938334284,0.8835161469977371,0.7684944788702424,0.6192374736018289,0.3682994874319172,0.3126975364115798,0.10105433772541961,0.016895667872609543,0.001046846935427781,0.0001378855655281841
CatBoost Regressor,0.9999993995490238,1.0,0.9999228222560085,0.9868493031966766,0.9540889390594536,0.8835161469977371,0.6817273207030693,0.6192374736018289,0.28669971249422255,0.06969151050971578,0.006387273931287796,0.001046846935427781
LightGBM Regressor,0.9928728938334284,0.9999228222560085,1.0,0.999995919077478,0.9998591961234454,0.9983619281303293,0.9773332613290088,0.9632150736607445,0.7684944788702424,0.36829948743191676,0.06969151050971578,0.016895667872609543
Ridge Regressor,0.8835161469977371,0.9868493031966766,0.999995919077478,1.0,0.9999999996583175,0.9999993995490238,0.9997536346434638,0.9993238888870379,0.9709190723803348,0.7407611577820002,0.26200334570830863,0.08953937927208755
Support Vector Regressor,0.7684944788702424,0.9540889390594536,0.9998591961234454,0.9999999996583175,1.0,0.9999999996583175,0.9999906407843138,0.999959630612906,0.9928728938334284,0.8639967382579582,0.3977036465170314,0.15916378486513016
XGBoost Regressor,0.6192374736018289,0.8835161469977371,0.9983619281303293,0.9999993995490238,0.9999999996583175,1.0,0.999999944499267,0.9999993995490238,0.998932546231014,0.9434194188475554,0.5549894408314383,0.26200334570830863
ElasticNet Regressor,0.3682994874319172,0.6817273207030693,0.9773332613290088,0.9997536346434638,0.9999906407843138,0.999999944499267,1.0,0.999999999999985,0.9999906407843138,0.9928728938334284,0.7948126090368915,0.490707510520652
Random Forest Regressor,0.3126975364115798,0.6192374736018289,0.9632150736607445,0.9993238888870379,0.999959630612906,0.9999993995490238,0.999999999999985,1.0,0.9999983582986489,0.9964264211961051,0.842664205264774,0.5549894408314383
MLP Regressor,0.10105433772541961,0.28669971249422255,0.7684944788702424,0.9709190723803348,0.9928728938334284,0.998932546231014,0.9999906407843138,0.9999983582986489,1.0,0.9999906407843138,0.9825964193186028,0.8639967382579582
KNN Regressor,0.016895667872609543,0.06969151050971578,0.36829948743191676,0.7407611577820002,0.8639967382579582,0.9434194188475554,0.9928728938334284,0.9964264211961051,0.9999906407843138,1.0,0.9999228222560085,0.9928728938334284
Mean Regressor,0.001046846935427781,0.006387273931287796,0.06969151050971578,0.26200334570830863,0.3977036465170314,0.5549894408314383,0.7948126090368915,0.842664205264774,0.9825964193186028,0.9999228222560085,1.0,0.9999993995490238
Random Regressor,0.0001378855655281841,0.001046846935427781,0.016895667872609543,0.08953937927208755,0.15916378486513016,0.26200334570830863,0.490707510520652,0.5549894408314383,0.8639967382579582,0.9928728938334284,0.9999993995490238,1.0
