,Stacking Regressor,CatBoost Regressor,LightGBM Regressor,Ridge Regressor,Support Vector Regressor,XGBoost Regressor,ElasticNet Regressor,Random Forest Regressor,MLP Regressor,KNN Regressor,Mean Regressor,Random Regressor
Stacking Regressor,,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
CatBoost Regressor,0.125,,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.0625
LightGBM Regressor,0.0625,0.0625,,0.4375,0.3125,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625
Ridge Regressor,0.0625,0.0625,0.4375,,0.4375,0.3125,0.0625,0.1875,0.125,0.0625,0.0625,0.0625
Support Vector Regressor,0.0625,0.125,0.3125,0.4375,,0.4375,1.0,0.3125,0.06788915486182899,0.0625,0.0625,0.0625
XGBoost Regressor,0.0625,0.0625,0.125,0.3125,0.4375,,1.0,1.0,0.3125,0.0625,0.0625,0.0625
ElasticNet Regressor,0.0625,0.0625,0.0625,0.0625,1.0,1.0,,1.0,0.625,0.625,0.0625,0.0625
Random Forest Regressor,0.0625,0.0625,0.0625,0.1875,0.3125,1.0,1.0,,0.1875,0.0625,0.0625,0.0625
MLP Regressor,0.0625,0.125,0.125,0.125,0.06788915486182899,0.3125,0.625,0.1875,,0.625,0.0625,0.0625
KNN Regressor,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.625,0.0625,0.625,,0.0625,0.0625
Mean Regressor,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625
Random Regressor,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,
